The antibiotic may have destroyed bacteria causing my sinus infection.  But it may also have been caused by a virus, so its hard to say.	Some back pain, some nauseau.	Took the antibiotics for 14 days. Sinus infection was gone after the 6th day.
"Lamictal stabilized my serious mood swings. One minute I was clawing up the walls in pure mania, the next curled up in a fetal position on my bed contemplating suicdie. I am no longer at the whim of my moods and neither are those around me. I'm lucky that I started pharmaceuticals almost immediately after I was diagnosed a bipolar. Lamictal gives me amazing clarity to go about my day, honestly assess myself and form real relationships. Lamitcal lifted a fog, I guess you could call it. Now that I'm medicated I realize how cloudy my thought processes used to be. It's a wonderful feeling.



Interestingly, I hardly dreamt before beginning Lamictal. I would dream (I mean dream in the sense of being able to imagine pictures and scenes while asleep, not REM) maybe once every two months. Now I dream every night. I found that the closer I take it to bedtime the more frequent and more intense my dreams."	"Drowsiness, a bit of mental numbness. If you take too much, you will feel sedated. Since you have to be able to clearly and honestly assess your emotions and thoughts, determining how much medication you need is tough. I found that 400mg works perfectly for me, but that's a high dose. Less than that and I can feel the medicine wearing off prematurely (I like it to last 24hrs, from sleep to sleep). More than that and I feel numb. Some might call it drowsiness, but it's more a sluggishness of the mind for me.



Before I began treating my bipolar disorder, I used to write a fair amount of fiction. It sort of flowed from me. I definitely had the artist's temperament. After Lamictal, though, that inherent creativity fizzled out. It doesn't come spilling out of me while I'm deep into a manic euphoria. I have to work at art now. It's something that requires discipline. If you are in a field which requires creativity, expect to see a change in your output."	Severe mood swings between hypomania and depression with suicide ideation before Lamictal. Began with 10mg and tritrated up to 400mg over a few months. Played around with the dosage to finally arrive at 400mg. Experimented with taking it at different times in the evening. Found that most comfortable time is before sleep.
Within one week of treatment superficial acne lesions were visibly reduced.  Sebum production which had been excessive before beginning was significantly reduced (after course of treatment level increased to a more normal level).  After one month of treatment no new acne lesions occured.  By the end of treatment no new acne developed, and old lesions had healed.	Side effects included moderate to severe dry skin.  This condition was rectified by the topical application of "Aquafore" moisturizer.	Drug was taken in gelatin tablet at 0.5 mg per day.  Drug treatment was carried out with bi-monthly visits to physician.  After 25 weeks ended treatment successfully finished treatment.  No recurrence of acne.
Ive been taking Tramadol for 2 weeks now. Ive been taking vicodin and percocuet for 7 months due to Cervial disk degeneration and lower back pain. I have to admit I loved taking Vicodin and percocuet. The problem is that they would knock me out. Tramadol has been awesome. It takes 90% of the pain away and I feel like I actually have energy again. From reading previous comments it sounds like I take a lower dose. Im really happy about that cause if I get use to it then I can up my dose and not feel worried about it.	I have had no side effects so far. I hope it stays that way.	Treating for neck, shoulder, arms, lower back, hip, thigh and knee pain.
Significantly diminished the symptoms and size of the cold sore.  Often, it would halt the development and the redness and swelling would disappear after a day or two, without the sore blistering/weeping/scabbing.  For my body, Valtrex has proven to be far more effective than either Famvir, or Zoviraz.   It is surprising how many people either do not treat cold sores, or are not aware of any new treatments after Zovirax.	Slight dizziness and tiredness, very minor.	2x 1000mg tablets every 12 hours for 1 day.
"Very quick migraine relief with no nausea or drowsiness. Other medications (such as Imitrex and Relpax) had little to no effect, or took a minimum of 1 to 2 hours for relief to begin. 



I really like the dissolving tablet, as I can take it anytime without having to find a water fountain or other beverage. Relief is very quick, generally within 20 to 30 minutes."	Very mild "buzz."	This is the first migraine medicine I've found to provide quick relief without unacceptable side effects of previous medications (nausea, severe drowsiness).
The xanax would act as a downer. It would calm me temporaily but could throw me into depression depending on the situation. If the situation was mildly tramatic the xanax would calm me but then follow by depression. The following day I would have residual sedation. The main complain was the addiction. It was not exactly like a craving but if you did not take it your body would feel like something was missing. It did not hurt but until I took it again I felt not quite content and as soon as I would take the pill my body would feel like it would give a sigh of relief. I think it is as much addiction to the mind as to the body.	As I explained above. Addiction and drowsiness. Your mind and body felt like you were missing something. Until you took the pill you would be anxious but for no reason but as soon as you took the pill your mind would be relived. You would no longer dwell on the anxiety.	Once a day preferably at bedtime but if a situation arose I would have to take another sooner and still one at bedtime in order to sleep.
blood sugar controlled levels around 100-110, blood pressure had been normal ever since i was placed on these b/p medications.xanax was the only one that could prevent anxiety and panic attacks and help me sleep. as for fosamax, i have not had a follow up bone density so i do not know how beneficial it is for treating osteoporosis	since i started taking metformin my weight loss continued (this is unwanted weight loss). initially fosamax gave me severe flu like symptoms	metformin 250 mg od, benicar 5 mg od , fosamax 70mg q wk,norvasc 2.5 mg od
I have suffered of rapid heart rate for sometime because of my thyroid problem. I was given this medicine to get my heart rate controlled. First few weeks the medicine did not seem to work for me but my doctor increased the dosage to 20mg twice a day, then that was the time I started to feel my heart rate slow down. The medicine is definitely effective but I guess the effect of it depends on the individual as it requres a certain dosage for it to work effectively.	I started feeling dizzy whenever I get up from sitting position to standing. I have informed my doctor about this and I was informed that this is a possible side effect of the drug.	Details as above.
The use of premarin reduced hot flashes and kept my skin looking younger. My skin doesn't look good since discontinuation of prenarin.	I experienced weight gain and sun sensitivity while taking premarin.	I took premarin once daily for over twenty five years following an emergency hysterectomy due to severe endometriosis. I stopped taking premarin because my doctor quit precsribing it.
Lovenox is given in subsequent pregnancies to women with recurrent miscarriage due to autoimmune issues.  Prior to taking Lovenox, I had two second trimester losses and thanks to Lovenox I was able to carry my two daughters to term.  It allowed my placenta to last the pregnancy without clotting and I was able to successfully have two children.	There are no major side effects.  There is an increased risk of bleeding but I did not experience this.  The only mild side effects was burning at the site of the injection when the medicine was going in, and some bruising at the site of the injection. Other than this I did not experience any sorts of side effects what so ever.	I had to self administer the shots twice a day.  Lovenox shots are primarily given on the belly.   However, the area usually remains sensitive and for anyone taking the drug for a prolonged period of time like I was, eventually you will run out of spots in your abdominal area and have to move to the thigh (I had to move to the thigh area during my last month of pregnancy). Other than slight burning and bruising, there was no other issues.  Initially I had a hard time giving myself the shot, and my husband had to do it, but once you get used to it, it's not really that bad and I was able to do it easily later on.  I was supposed to start the shots prior to conception and continue them six weeks postpartum.  My overall experience with Lovenox is very good and I am very happy that this drug was around to help me.
