	none - did nothing to help allergies. i just had a dryer, more painful version of my allergies with new allergies/irritations developing on top of my original ones. this stuff is dangerous and the side effects that many people are experiencing are not listed on the package. a class action lawsuit needs to happen.	took one 10 mg pill nightly.
	The treatment cured the sore throat for which it was perscribed.	I took omnicef orally for 10 days.  After the clostridium difficil was diagnosed, I had to start a new course of drugs which had to be repeated before the new infection/condition was cured.
	None. She did an anaphylaxis schock and she did not receive any benefit .	It was used for  back pain . She did a severe reaction ( anaphylactic schock). We did the right treatment . We use adrenaline and IV solutions inmediately, we have to transport the patient to the more big hospital in our city and she was at intense care unit  by 5 days. She is outside now , but she got as aftermath an Asthma and she is using Inhalator.
	While on abilify I can honestly say the depression resolved,	I am only taking ativan & getting psychological therapy & trying to get out of the legal mess the drugs seroquel & abilify caused me. It definitely made my life now & in the future much, much worse.
	None!	See above
	I couldn't tolerate the side effects, so I was unable to experience the benefits.	I was only on this medication for a very short time because after 3 days my doctor took me off of it.
	Overall reduction in the severity of breakouts.	Take one pill after dinner. Wash face with medicated facewash. Use Retin-A micro in conjunction with spironolactane.
	I did not get pregnant while on the depo shot... but then again my sex life was shot due to the constant bleeding.	I recieved the shot at family planning about 3 years ago. Please do yourself a favor and look to other options before choosing this drug. My experience was the hardest 3 months of my life both emotionally and physically.
	It seemed to help make me not want to smoke. I seemed to not even think about smoking at times i would normally smoke. I think it would be very efective if the side effects werent so great.	I quit taking this med after about  a week and i am now still smoking.
	"Personally, i found metronidazole to be an equivalent to a concentration drug, it severely improved my intelligence and my overall concentration, i realise now that this drug, as it may be depressing, a new chapter in my life.



during the medication i received, i was severely depressed, however it got me thinking deeply towards why i was indeed depressed, and thus, i came to a solution.



it completely destroyed the bacteria that was within my abscess and treated me within 3 days, and aided my mind alot.



Within my experience with metronidazole, i have only to thank it for my A* papers and my mental health.



With that i have only this to say:

Take it, it aids the physical problems you have, and if your like me at all, with greater ambitions than any human can dream,  This will make you realise all the problems you encounter, and it will cleanse you of your worries."	"400 MG 3 Times DAILY 

 

NOT to be taken with any alchohol.



7 Day period."
	The benefits were highly good in the fact that it immensley eased the pain in the joints of my mother.When she stopped taking the medication she was faced with accute pain again, so she kept on taking it.	"Treatment details is as followed she took twice daily with food.

sometimes she forgot to take her medication soon to realise that the pain was coming back.  So hence she realised she had forgotten to take it.   It clearly worked to relieve the pain of arthritis."
	Noticeable improvement within 24 hours. Marked improvement within three days. Cleared sinus infection and bronchitis in the ten day prescription time period.	Was given Levaquil after a Z Pac did not work.
	cured the UTI	two pills per day with a lot of water.
	My mother had slight high blood pressure and was prescribed Lisinopril along with the water pill. The medication was doing its job, lowering BP to normal.	Patient was taking a low dose of Lisinopril 1 pill a day for slight high blood pressure. She took the medication on and off for 5 years.  She would take it when she felt she needed it.  Sometimes for about 3 months in a row and other times just 1 time a week.  Sometimes she would stop taking it for a couple of months.
	none...I am reguired to write fifty words bon the treatment benefits but since I had to discontinue the drug or die there were no benefits and I would be telling a bald faced lie if I said there were and but I will keep on typing so that I comply with the request for the fifty word minimun	Cipro was started while waiting for the results of a urine culture after it was found that I had blood in my urine and I had a high white blood cell count in the urine specimen. The thought was I had a severe infection so she opted to hit it hard with the most potent medicine available
	Hardly any except I felt so physically tired that I couldn't even feel depressed.	I just started treatment for severe depression. I sleep okay, but have nightmares all night, which is why my doctor recommended Remeron. I am going to ask for a change in this because even though it has only been a few days, I am barely functional.
	none, I felt worse. This is probably a drug that works for some people but didn't work at all for me in fact I felt much much worse. Unfortunately, I didn't review the contraindications.	i took it once a day for PMS
	drug helped alleviate stuffy feeling without much notice of any side effects.	topical and internal steroid meds and antibiotics to avert infection, all help just until the next outbreak which after the last bout was about a week or so.
	Patient experienced no treatment benefits.	Treatment details are as described above.
	Cleared up the infection but any number of other drugs would have done just as well, without the awful side effects.	I subsequently discovered that I was prescribed this drug for a condition that any number of other drugs would have cleared up just as as easily and was given way too much of it as well.  The whole experience has been a nightmare.  Nearly a year later, still suffering after-effects.  Do not take this drug without checking it out. Cipro was black-boxed by the FDA less than a week after I finished my prescription, and MDs still hand it out like candy.
	I had taken avalox several times before because I had become immune to other antibiotics.  Avalox seemed to work previously.	Chemo likely for the rest of my life.
	there was none.	Took him to doctor a few times for deppression. Doctor wrote a perscription. He was just a M.D., did not get a syc eval.
	The first few days I felt "happier"	It was horrible..just read above
	None	"Ladies: I am sure you may have done lots of researches by now regarding taking Seasonique (PLEASE do before you try to take this drug), and there are lots of negative than positive comments on this drug. I would like to point out a couple of my comments to share with you. I normally have 4 - 5 days menstrual periods every month. But I was not happy and tried to be on this drug because it described 4 periods only per year (WOW! what a great idea, especially I have small child, school, work, and husband). Guess what happen since then? I have been bleeding almost 2 weeks now, and from light to heavy, the worst part is I get all these uncomfortable cramps, keep waking up at night, my personalities change from good to bad, I have not been in a good mood since then. of course not, how can I be in a good mood when my vagina keeps bleeding on me every single day (I am sure no woman likes that), and so on. I spoke with my OB, and she said it's normal. I don't think so, it is completely not normal to me. I have been bleeding, and ruin my daily life style. No wonder it is called Birth Control. How can you have sex with your partner while you have all these symtomps in your body especially bleeding? I stop this drug, and can't wait to have my clean dates back.



Ladies: I am not saying all the women's body are the same. But if you want to be on this drug. I would advise you do more researches and read more comments before trying, and other advise is if you think it's a good idea for 4 periods per year, you may want to think twice. Because it's a mother nature for women that has 13 menstrual periods every year, trying to change it and playing with your hormones are the game, unless you like to gamble, then you may want to try this excitment drug, and hope you will win. Otherwise, please consider something else. I am so regret that I did not read all the comments and reviews before I asked my OB to put me on this drug. Therefore, I have to suffer what I deserve (I guess). I just don't want to see another woman to be suffered like me, as I finally found out there are lots of women out there are taking the same drug (before I made up my mind to throw this drug away) that are suffering the same symtomps but still want to continue and hopefully that will work one day. For me, ""no is no"". You can call me chicken or looser or whatsoever. But let me tell you, it is defintely not fun if the drug makes your life changes from okay to worse!



Final words...... Good luck if you are on this prescription, and I hope you win, if not, you defintely need these words ""Good Luck""! :)"
	Significantly decreased depression and anxiety. More effective than Lexapro which was also taken prior by patient. Definitely a more effective product.	Taken daily at night before bedtime. Also exercised daily and increased activity which contributed to success.
	None. though suffering terrible pain from shingles, this drug cause a severe adverse reaction and necessitated calling an ambulance. It created sever pain in another site entirely, so effectively doubled my trouble.	Prescribed to deal with severe neuralgic pain from shingles. Stopped treatment after adverse reaction.
	the pain in my tooth started to subside	I was rushed to the doctors office and given another drug to counter the effects of the penicillin.  I was sick from the whole episode for a very long time.  I am never suppose to take penicillin again or any drug that is a derivative of penicillin.
	No benefits whatsoever, no change in bone density. I took one tablet on the same day each week with plenty of water first thing in the morning and stood upright for the next two hours as I prepared for work. The side effects were numerous and severe, and with continued use compounded themselves to the point that I feared I may not survive the year. My physician at the time refused to believe me and insisted that I continue taking the drug. I began intense research on my own and discovered I was not alone, and would have to make every attempt to save myself.	After extensive research, I began a complete detoxification process accompanied by acupuncture which I believe ultimately saved my life. My advice: listen to what your body is telling you, be aware and be pro-active with your treatments.
	After taking the Zyban for 3 weeks my desire to smoke was nearly eliminated. I had tried other methods to quit smoking and this one actually worked! Unfortunately I had a severe allergic reactions to the medication (the main ingredient Wellbutrin).	I was impressed with the ability the medication had with my decreased desire to want to smoke, but the side affects/allergic reaction was to severe to continue using it.
	None.	25mg once at bedtime to start first week, then 50, 75, 100, 150, then 200mg final dosage after weekly increase. Tiredness was suppose to subside in increased dosages, which really I feel it was so highly increased that it had a reverse affect and made it impossible to sleep or move or even hear a pin drop without thinking it was the front glass door being broken into.
